frame,inference_time_ms,num_detections,detected_classes
0,68.93396377563477,0,
1,21.04043960571289,0,
2,20.33400535583496,0,
3,20.224809646606445,0,
4,20.312786102294922,0,
5,20.340681076049805,0,
6,20.403385162353516,0,
7,20.180463790893555,0,
8,20.090579986572266,0,
9,20.73049545288086,0,
10,20.644664764404297,0,
11,20.430326461791992,0,
12,20.653486251831055,0,
13,20.35379409790039,0,
14,20.644426345825195,0,
15,20.685434341430664,0,
16,20.72453498840332,0,
17,20.557641983032227,0,
18,20.481109619140625,0,
19,21.593570709228516,0,
20,20.46656608581543,0,
21,21.422863006591797,0,
22,21.018505096435547,0,
23,20.827054977416992,0,
24,20.768165588378906,0,
25,20.467281341552734,0,
26,20.533323287963867,0,
27,20.707368850708008,0,
28,20.949125289916992,0,
29,21.481037139892578,0,
30,20.49112319946289,0,
31,20.476102828979492,0,
32,20.25294303894043,0,
33,20.45273780822754,0,
34,20.209074020385742,0,
35,20.110368728637695,0,
36,20.350217819213867,0,
37,20.41149139404297,0,
38,20.556211471557617,0,
39,21.02375030517578,0,
40,20.13373374938965,0,
41,20.302295684814453,0,
42,20.620107650756836,0,
43,20.262956619262695,0,
44,20.427703857421875,0,
45,20.59650421142578,0,
46,20.580053329467773,0,
47,20.74122428894043,0,
48,20.293712615966797,0,
49,21.933794021606445,0,
50,20.607471466064453,0,
51,20.557165145874023,0,
52,20.725250244140625,0,
53,20.71976661682129,0,
54,20.60532569885254,0,
55,20.877361297607422,0,
56,20.93195915222168,0,
57,20.16472816467285,0,
58,20.753145217895508,0,
59,21.878480911254883,0,
60,20.070314407348633,0,
61,20.076751708984375,0,
62,20.061254501342773,0,
63,19.8209285736084,0,
64,19.73271369934082,0,
65,19.855737686157227,0,
66,19.648313522338867,0,
67,19.878387451171875,0,
68,20.30181884765625,0,
69,20.45154571533203,0,
70,19.640684127807617,0,
71,19.562721252441406,0,
72,19.469022750854492,0,
73,19.58942413330078,0,
74,19.835710525512695,0,
75,19.866466522216797,0,
76,19.540786743164062,0,
77,20.02406120300293,0,
78,19.65928077697754,0,
79,20.45726776123047,0,
80,19.427061080932617,0,
81,19.28877830505371,0,
82,20.040035247802734,0,
83,19.89459991455078,0,
84,20.38288116455078,0,
85,19.617557525634766,0,
86,19.956350326538086,0,
87,20.134449005126953,1,boat
88,19.763469696044922,0,
89,20.607948303222656,0,
90,19.52338218688965,0,
91,19.764184951782227,0,
92,19.533395767211914,0,
93,19.290685653686523,0,
94,19.676685333251953,0,
95,19.021272659301758,0,
96,19.478559494018555,0,
97,19.43063735961914,0,
98,19.56796646118164,0,
99,20.441055297851562,0,
100,21.094083786010742,0,
101,20.19977569580078,0,
102,19.845008850097656,0,
103,20.960569381713867,0,
104,20.214080810546875,1,boat
105,19.519805908203125,0,
106,19.77992057800293,0,
107,19.845962524414062,0,
108,19.676923751831055,0,
109,19.66714859008789,0,
110,19.552946090698242,0,
111,19.56319808959961,0,
112,20.696640014648438,0,
113,20.519733428955078,0,
114,21.718740463256836,0,
115,20.596742630004883,0,
116,20.45130729675293,0,
117,20.23005485534668,0,
118,20.457029342651367,0,
119,21.19588851928711,0,
120,21.027803421020508,0,
121,19.9282169342041,0,
122,20.655155181884766,0,
123,20.726919174194336,0,
124,19.92654800415039,0,
125,19.947052001953125,0,
126,20.528316497802734,0,
127,20.198822021484375,0,
128,20.60103416442871,0,
129,20.064115524291992,0,
130,20.260334014892578,0,
131,21.847963333129883,0,
132,21.591901779174805,0,
133,20.799875259399414,0,
134,20.65110206604004,0,
135,20.269393920898438,0,
136,20.1570987701416,0,
137,22.059917449951172,0,
138,20.113706588745117,0,
139,20.66636085510254,0,
140,20.130395889282227,0,
141,20.41029930114746,0,
142,20.445585250854492,0,
143,21.572589874267578,0,
144,20.68495750427246,0,
145,21.226882934570312,0,
146,21.06165885925293,0,
147,22.673845291137695,0,
148,20.82657814025879,0,
149,20.444393157958984,0,
150,21.02494239807129,0,
151,20.319700241088867,0,
152,20.5233097076416,0,
153,20.489215850830078,0,
154,20.435571670532227,0,
155,20.29252052307129,0,
156,20.63608169555664,0,
157,21.519899368286133,0,
158,20.636320114135742,0,
159,20.69258689880371,0,
160,20.637989044189453,0,
161,20.689964294433594,0,
162,20.485639572143555,0,
163,20.45750617980957,0,
164,20.4160213470459,0,
165,20.769596099853516,0,
166,22.330045700073242,1,car
167,20.14899253845215,1,car
168,20.25151252746582,0,
169,20.458698272705078,1,car
170,20.112276077270508,1,train
171,20.325422286987305,2,train;car
172,20.191431045532227,1,train
173,20.303726196289062,2,train;car
174,20.207643508911133,0,
175,20.160436630249023,0,
176,22.02630043029785,1,train
177,20.374059677124023,1,car
178,20.41482925415039,2,train;car
179,20.392417907714844,0,
180,20.319700241088867,2,car;train
181,20.029306411743164,1,car
182,20.18594741821289,1,car
183,20.209312438964844,2,car;train
184,20.402193069458008,1,car
185,20.281314849853516,1,car
186,21.75617218017578,0,
187,20.385026931762695,1,car
188,20.111083984375,1,car
189,20.702123641967773,1,car
190,20.048856735229492,1,car
191,20.313024520874023,1,car
192,20.129919052124023,1,car
193,20.099878311157227,1,car
194,20.3092098236084,1,car
195,21.26336097717285,1,car
196,20.276308059692383,1,car
197,20.023107528686523,1,car
198,19.971847534179688,1,car
199,20.213603973388672,0,
200,20.787477493286133,2,car;train
201,19.742727279663086,1,car
202,19.469499588012695,0,
203,20.19047737121582,1,train
204,19.940853118896484,2,train;car
205,20.934581756591797,0,
206,20.043373107910156,0,
207,19.898176193237305,0,
208,19.725799560546875,0,
209,19.629240036010742,0,
210,19.034147262573242,0,
211,18.92709732055664,0,
212,18.926620483398438,0,
213,19.841909408569336,0,
214,19.68669891357422,0,
215,21.07834815979004,0,
216,22.045373916625977,0,
217,19.475221633911133,0,
218,19.524812698364258,0,
219,19.61827278137207,0,
220,19.481420516967773,0,
221,19.74320411682129,0,
222,18.919706344604492,0,
223,19.4244384765625,0,
224,19.854068756103516,0,
225,19.8056697845459,0,
226,19.77252960205078,0,
227,19.268035888671875,0,
228,19.466876983642578,0,
229,19.56629753112793,0,
230,19.28091049194336,0,
231,19.433259963989258,0,
232,19.37413215637207,0,
233,19.02604103088379,0,
234,20.282268524169922,0,
235,19.530534744262695,0,
236,19.49000358581543,0,
237,19.306659698486328,0,
238,18.91613006591797,0,
239,19.423246383666992,0,
240,19.383907318115234,0,
241,19.628286361694336,0,
242,19.100189208984375,0,
243,18.99576187133789,0,
244,19.765853881835938,0,
245,18.800020217895508,0,
246,19.11616325378418,0,
247,19.24753189086914,0,
248,19.307851791381836,0,
249,19.5925235748291,0,
250,19.428014755249023,0,
251,19.31476593017578,0,
252,19.494056701660156,0,
253,19.44112777709961,0,
254,21.40045166015625,0,
255,19.448041915893555,0,
256,19.902467727661133,0,
257,18.95928382873535,0,
258,19.128084182739258,0,
259,19.352197647094727,0,
260,19.404172897338867,0,
261,20.17354965209961,0,
262,18.812894821166992,0,
263,19.18959617614746,0,
264,21.01731300354004,0,
265,19.411563873291016,0,
266,19.74630355834961,0,
267,19.478321075439453,0,
268,19.590139389038086,0,
269,19.561290740966797,0,
270,19.56486701965332,0,
271,19.68669891357422,0,
272,19.954919815063477,0,
273,21.198034286499023,0,
274,20.965576171875,0,
275,20.43437957763672,0,
276,20.360708236694336,0,
277,20.127058029174805,0,
278,20.2176570892334,0,
279,20.009756088256836,0,
280,19.40631866455078,0,
281,19.640684127807617,0,
282,19.475936889648438,0,
283,20.611286163330078,0,
284,19.68669891357422,0,
285,19.475221633911133,0,
286,19.675493240356445,0,
287,19.53291893005371,0,
288,19.453763961791992,0,
289,19.58918571472168,0,
290,19.75536346435547,0,
291,19.435405731201172,0,
292,19.722461700439453,0,
293,21.04783058166504,0,
294,19.94156837463379,0,
295,20.01810073852539,0,
296,20.41482925415039,0,
297,20.007848739624023,0,
298,20.467042922973633,0,
299,20.50018310546875,0,
300,21.068572998046875,0,
301,20.136117935180664,0,
302,21.26789093017578,0,
303,19.64735984802246,0,
