time_s,true_dist_m,radar_dist_m,lidar_dist_m,fused_dist_m,relative_vel_mps,ttc_s,safety_level
0.0017199516296386719,73.68693082817028,999.0,999.0,999.0,0.0,999.0,SAFE
0.01301431655883789,73.68693082817028,15.206235885620117,999.0,999.0,4105.431640625,999.0,SAFE
0.15003156661987305,73.6869156792851,15.206235885620117,4.331724166870117,999.0,4105.431640625,999.0,SAFE
0.18524765968322754,73.68517355779194,11.668526649475098,4.331739902496338,999.0,0.00591819201331858,999.0,SAFE
0.23920965194702148,73.67991689918318,12.780374526977539,4.332093238830566,999.0,0.16241900746100543,999.0,SAFE
0.2973659038543701,73.66834318017568,11.966495513916016,4.332760334014893,999.0,0.2660323249055016,999.0,SAFE
0.3494729995727539,73.65224314094053,12.725211143493652,4.333622455596924,999.0,0.37963000914690476,999.0,SAFE
0.4046909809112549,73.62899296813441,13.091492652893066,4.334146499633789,999.0,0.49198075344591596,999.0,SAFE
0.474651575088501,73.59905770121028,12.765198707580566,4.334775447845459,999.0,0.6352763755141565,999.0,SAFE
0.5183217525482178,73.5619469210999,12.765198707580566,4.335229873657227,999.0,0.8003318735274729,999.0,SAFE
0.5647270679473877,73.51710710395905,12.184038162231445,4.3357014656066895,999.0,0.9551251638605471,999.0,SAFE
0.6138961315155029,73.46492768563465,14.27744197845459,4.336033344268799,999.0,1.0821003498786672,999.0,SAFE
0.6649370193481445,73.4056935628848,12.961366653442383,4.336329936981201,999.0,1.2806916454894435,999.0,SAFE
0.7159628868103027,73.3388335181627,12.766353607177734,4.336577415466309,999.0,1.394997970653643,999.0,SAFE
0.7669250965118408,73.26430608538521,12.220221519470215,4.336958408355713,999.0,1.591895906256818,999.0,SAFE
0.8185164928436279,73.18194825476621,14.576268196105957,4.336892604827881,999.0,1.7064507975594418,999.0,SAFE
0.8673250675201416,73.0908782744689,13.183670043945312,4.33714485168457,999.0,1.9198096123729689,999.0,SAFE
0.9167311191558838,72.99243329743463,12.331521034240723,4.337224006652832,999.0,2.028702657256183,999.0,SAFE
0.9657089710235596,72.88581145794318,13.900857925415039,4.337302207946777,999.0,2.227976802310888,999.0,SAFE
1.0133612155914307,72.772118980915,13.977558135986328,4.337238311767578,999.0,2.3364151548980177,999.0,SAFE
1.0659818649291992,72.65061055115075,12.536713600158691,4.3372039794921875,999.0,2.5230358954194485,999.0,SAFE
1.1155486106872559,72.52240724090187,12.308952331542969,4.337203502655029,999.0,2.628940183483318,999.0,SAFE
1.1633851528167725,72.38849781900629,12.856606483459473,4.337116241455078,999.0,2.7504604066952063,999.0,SAFE
1.2106525897979736,72.24853852602378,12.529123306274414,4.33699369430542,999.0,2.8709267312125806,999.0,SAFE
1.2581777572631836,72.1021704417136,12.643683433532715,4.336989402770996,999.0,3.006807343889823,999.0,SAFE
1.3089582920074463,71.94924258298074,13.144187927246094,4.336697101593018,999.0,3.135146552758786,999.0,SAFE
1.357428789138794,71.78964218786369,14.391277313232422,4.336679458618164,999.0,3.2737501391124173,999.0,SAFE
1.407926321029663,71.62342680900205,13.094633102416992,4.336714267730713,999.0,3.4031411451469893,999.0,SAFE
1.4581129550933838,71.45061226231533,11.642364501953125,4.336679458618164,999.0,3.5402317346965266,999.0,SAFE
1.5069646835327148,71.27126392582926,15.104348182678223,4.336771011352539,999.0,3.6684916683911766,999.0,SAFE
1.5529258251190186,71.08538265980717,12.46131420135498,4.336716651916504,999.0,3.8030345602153126,999.0,SAFE
1.606914758682251,70.89306020383775,13.163702011108398,4.3367180824279785,999.0,3.9289192066539247,999.0,SAFE
1.6615948677062988,70.69444887935134,12.771172523498535,4.336627006530762,999.0,4.0574795087719675,999.0,SAFE
1.709268569946289,70.48968971296138,15.325044631958008,4.336627006530762,999.0,4.178675139152162,999.0,SAFE
1.7600669860839844,70.27890888446177,16.617570877075195,4.33666467666626,999.0,4.301413382293555,999.0,SAFE
1.8125486373901367,70.0621827497532,14.18766975402832,4.336577415466309,999.0,4.419145737576898,999.0,SAFE
1.8666660785675049,69.83970549917991,11.928680419921875,4.336619853973389,999.0,4.535235555146392,999.0,SAFE
1.9158554077148438,69.61153876164603,14.645334243774414,4.336400032043457,999.0,4.648857304251208,999.0,SAFE
1.9722881317138672,69.37779694841387,12.900130271911621,4.336382865905762,999.0,4.760665563414248,999.0,SAFE
2.0286340713500977,69.13857973852862,13.34134578704834,4.336369037628174,999.0,4.87084989080334,999.0,SAFE
2.0789377689361572,68.89401328926775,11.730148315429688,4.336297988891602,999.0,4.979547972061572,999.0,SAFE
2.1337828636169434,68.64408765235719,12.21646499633789,4.336262226104736,999.0,5.086532225929645,999.0,SAFE
2.182886838912964,68.39012773977224,13.540602684020996,4.336527347564697,999.0,5.100648227202826,999.0,SAFE
2.2362825870513916,68.13837903178772,11.923558235168457,4.336452484130859,999.0,5.106128692626953,999.0,SAFE
2.287926197052002,67.88853871962601,12.258255004882812,4.335786819458008,999.0,5.0625481605529785,999.0,SAFE
2.336231231689453,67.63886697515957,11.580615043640137,4.334897518157959,999.0,5.051881161467293,999.0,SAFE
2.390258550643921,67.38880027405361,13.172699928283691,4.334465980529785,999.0,5.048822390904231,999.0,SAFE
2.4434590339660645,67.13706125732156,12.92831039428711,4.334259986877441,999.0,5.107726614212805,999.0,SAFE
2.4939370155334473,66.88338936879556,12.827577590942383,4.334164142608643,999.0,5.132822213730759,999.0,SAFE
2.5490400791168213,66.62686271937835,11.686606407165527,4.334216117858887,999.0,5.21265266017419,999.0,SAFE
2.6047301292419434,66.36749727051854,12.477067947387695,4.33435583114624,999.0,5.253838882307355,999.0,SAFE
2.663874387741089,66.10466290050671,12.914348602294922,4.33451509475708,999.0,5.3448800466676945,999.0,SAFE
2.7219433784484863,65.83854491702093,12.444531440734863,4.334618091583252,999.0,5.394536093416226,999.0,SAFE
2.7891600131988525,65.5686274741236,13.232192039489746,4.334799289703369,999.0,5.490991988326128,999.0,SAFE
