timestamp,frame,min_distance_m,lateral_offset_m,point_count
101691.55257141031,2598879,4.331724166870117,-0.6164453029632568,1435
101691.6525714118,2598881,4.331739902496338,0.3090234398841858,1509
101691.70257141255,2598882,4.332093238830566,-0.30906248092651367,1396
101691.7525714133,2598883,4.332760334014893,1.514062523841858,1505
101691.80257141404,2598884,4.333622455596924,-1.9398436546325684,1415
101691.85257141478,2598885,4.334146499633789,1.940039038658142,1475
101691.90257141553,2598886,4.334775447845459,-1.9403125047683716,1473
101691.95257141627,2598887,4.335229873657227,1.9405077695846558,1425
101692.00257141702,2598888,4.3357014656066895,-1.9407421350479126,1444
101692.05257141776,2598889,4.336033344268799,1.9409373998641968,1470
101692.10257141851,2598890,4.336329936981201,-1.941015601158142,1460
101692.15257141925,2598891,4.336577415466309,1.8014843463897705,1494
101692.20257142,2598892,4.336958408355713,-1.2218358516693115,1425
101692.25257142074,2598893,4.336892604827881,1.801601529121399,1487
101692.30257142149,2598894,4.33714485168457,-1.515663981437683,1359
101692.35257142223,2598895,4.337224006652832,1.8017578125,1496
101692.40257142298,2598896,4.337302207946777,-1.6598047018051147,1388
101692.45257142372,2598897,4.337238311767578,1.94140625,1467
101692.50257142447,2598898,4.3372039794921875,-1.94140625,1421
101692.55257142521,2598899,4.337203502655029,1.9413671493530273,1488
101692.60257142596,2598900,4.337116241455078,-1.9413280487060547,1385
101692.6525714267,2598901,4.33699369430542,1.9413671493530273,1448
101692.70257142745,2598902,4.336989402770996,-1.5155858993530273,1415
101692.7525714282,2598903,4.336697101593018,1.9411327838897705,1526
101692.80257142894,2598904,4.336679458618164,-1.9411718845367432,1420
101692.85257142968,2598905,4.336714267730713,1.9411718845367432,1486
101692.90257143043,2598906,4.336679458618164,-1.9411718845367432,1424
101692.95257143117,2598907,4.336771011352539,1.8015234470367432,1478
101693.00257143192,2598908,4.336716651916504,-1.8015624284744263,1430
101693.05257143266,2598909,4.3367180824279785,1.8015234470367432,1484
101693.10257143341,2598910,4.336627006530762,-1.9410936832427979,1443
101693.15257143416,2598911,4.336627006530762,1.9411718845367432,1435
101693.2025714349,2598912,4.33666467666626,-1.8015234470367432,1372
101693.25257143565,2598913,4.336577415466309,1.8014843463897705,1493
101693.30257143639,2598914,4.336619853973389,-1.6595312356948853,1437
101693.35257143714,2598915,4.336400032043457,1.941015601158142,1487
101693.40257143788,2598916,4.336382865905762,-1.9410547018051147,1421
101693.45257143863,2598917,4.336369037628174,1.801367163658142,1498
101693.50257143937,2598918,4.336297988891602,-1.801367163658142,1435
101693.55257144012,2598919,4.336262226104736,1.801367163658142,1487
101693.60257144086,2598920,4.336527347564697,-1.8014062643051147,1438
101693.6525714416,2598921,4.336452484130859,1.9410936832427979,1473
101693.70257144235,2598922,4.335786819458008,-1.515234351158142,1433
101693.7525714431,2598923,4.334897518157959,1.9403514862060547,1494
101693.80257144384,2598924,4.334465980529785,-1.6587109565734863,1417
101693.85257144459,2598925,4.334259986877441,1.368749976158142,1478
101693.90257144533,2598926,4.334164142608643,-1.940039038658142,1408
101693.95257144608,2598927,4.334216117858887,1.940039038658142,1501
101694.00257144682,2598928,4.33435583114624,-1.9401171207427979,1431
101694.05257144757,2598929,4.33451509475708,1.800624966621399,1456
101694.10257144831,2598930,4.334618091583252,-1.9402343034744263,1394
101694.15257144906,2598931,4.334799289703369,1.6588281393051147,1440
101694.2025714498,2598932,4.334967613220215,-1.8008593320846558,1459
101694.25257145055,2598933,4.335078716278076,1.6589453220367432,1443
101694.30257145129,2598934,4.335142135620117,-1.940468668937683,1426
101694.35257145204,2598935,4.3352131843566895,1.8009374141693115,1485
101694.40257145278,2598936,4.335247039794922,-1.9405077695846558,1430
101694.45257145353,2598937,4.335299491882324,1.9405468702316284,1435
101694.50257145427,2598938,4.335371971130371,-1.8009765148162842,1431
101694.55257145502,2598939,4.335389614105225,1.8009765148162842,1478
101694.60257145576,2598940,4.335386753082275,-1.9405858516693115,1408
101694.6525714565,2598941,4.335460186004639,1.6591405868530273,1475
101694.70257145725,2598942,4.335403919219971,-1.9406249523162842,1447
101694.752571458,2598943,4.335423469543457,1.8010156154632568,1435
101694.80257145874,2598944,4.335386753082275,-1.9405858516693115,1434
101694.85257145949,2598945,4.335386753082275,1.9406249523162842,1455
101694.90257146023,2598946,4.335636138916016,-0.3092968761920929,1434
101694.95257146098,2598947,4.335351943969727,1.9405858516693115,1461
101695.00257146172,2598948,4.335355281829834,-1.8009374141693115,1375
101695.05257146247,2598949,4.335352420806885,1.8010156154632568,1416
101695.10257146321,2598950,4.3353166580200195,-1.9405468702316284,1435
101695.15257146396,2598951,4.335391044616699,1.6591014862060547,1507
101695.2025714647,2598952,4.3353376388549805,-1.8009374141693115,1437
101695.25257146545,2598953,4.335264682769775,1.9405077695846558,1443
101695.30257146619,2598954,4.3352861404418945,-1.8008984327316284,1360
101695.35257146694,2598955,4.335284233093262,1.8009374141693115,1397
101695.40257146768,2598956,4.335284233093262,-1.8009374141693115,1419
101695.45257146843,2598957,4.335212230682373,1.9405077695846558,1463
101695.50257146917,2598958,4.3351945877075195,-1.9405077695846558,1444
101695.55257146992,2598959,4.335247039794922,1.9405468702316284,1419
101695.60257147066,2598960,4.335142135620117,-1.9404296875,1454
101695.65257147141,2598961,4.3352131843566895,1.8009374141693115,1456
101695.70257147215,2598962,4.335054874420166,-1.9404296875,1432
101695.7525714729,2598963,4.335264682769775,1.9405858516693115,1470
101695.80257147364,2598964,4.335002422332764,-1.9404296875,1427
101695.85257147439,2598965,4.335312366485596,3.9062499126885086e-05,1446
101695.90257147513,2598966,4.33486270904541,-1.9403125047683716,1444
101695.95257147588,2598967,4.335273265838623,0.0,1458
101696.00257147662,2598968,4.334810256958008,-1.9403514862060547,1460
101696.05257147737,2598969,4.335292816162109,-3.9062499126885086e-05,1478
101696.10257147811,2598970,4.334670543670654,-1.940273404121399,1445
101696.15257147886,2598971,4.33523416519165,3.9062499126885086e-05,1425
101696.2025714796,2598972,4.33456563949585,-1.9402343034744263,1399
101696.25257148035,2598973,4.335175514221191,-3.9062499126885086e-05,1426
101696.3025714811,2598974,4.3346662521362305,-1.5148046016693115,1477
101696.35257148184,2598975,4.335175514221191,0.0,1464
101696.40257148258,2598976,4.3344807624816895,-1.8005858659744263,1440
101696.45257148333,2598977,4.335116863250732,0.0,1435
101696.50257148407,2598978,4.334286212921143,-1.9401171207427979,1415
101696.55257148482,2598979,4.33512544631958,0.1547265648841858,1456
101696.60257148556,2598980,4.334198951721191,-1.9400781393051147,1459
101696.65257148631,2598981,4.335058689117432,-3.9062499126885086e-05,1454
101696.70257148705,2598982,4.334237098693848,-1.658632755279541,1429
101696.7525714878,2598983,4.335168838500977,0.3092968761920929,1418
101696.80257148854,2598984,4.33393669128418,-1.9399218559265137,1396
101696.85257148929,2598985,4.334980487823486,-3.9062499126885086e-05,1432
101696.90257149003,2598986,4.334044456481934,-1.6585546731948853,1443
101696.95257149078,2598987,4.335047245025635,0.1547265648841858,1409
101697.00257149152,2598988,4.333744525909424,-1.939882755279541,1422
101697.05257149227,2598989,4.334921836853027,0.0,1403
101697.10257149301,2598990,4.333517551422119,-1.9397655725479126,1410
101697.15257149376,2598991,4.334902286529541,3.9062499126885086e-05,1417
101697.2025714945,2598992,4.333377838134766,-1.9396874904632568,1464
101697.25257149525,2598993,4.335087776184082,0.3092578053474426,1451
101697.302571496,2598994,4.333325386047363,-1.9396874904632568,1400
101697.35257149674,2598995,4.334863185882568,-3.9062499126885086e-05,1452
101697.40257149749,2598996,4.333343029022217,-1.9396874904632568,1451
101697.45257149823,2598997,4.334910869598389,0.1547265648841858,1411
101697.50257149898,2598998,4.333272933959961,-1.9396483898162842,1444
101697.55257149972,2598999,4.334889888763428,0.15468749403953552,1420
101697.60257150047,2599000,4.333289623260498,-1.8001562356948853,1395
101697.65257150121,2599001,4.335135459899902,0.4634374976158142,1383
101697.70257150196,2599002,4.333098888397217,-1.8000390529632568,1504
101697.7525715027,2599003,4.33474588394165,-3.9062499126885086e-05,1397
101697.80257150345,2599004,4.332958221435547,-1.939492106437683,1426
101697.85257150419,2599005,4.335111618041992,0.46339842677116394,1422
101697.90257150494,2599006,4.333804130554199,-1.0717968940734863,1449
