frame,inference_time_ms,num_detections,detected_classes
135,19.60587501525879,0,
136,19.544601440429688,0,
137,19.553661346435547,0,
138,21.02065086364746,0,
139,19.379138946533203,0,
140,19.618988037109375,0,
141,19.673585891723633,0,
142,19.398927688598633,0,
143,19.588470458984375,0,
144,19.71268653869629,1,baseball bat
145,20.061016082763672,0,
146,19.919395446777344,0,
147,19.763946533203125,0,
148,20.508527755737305,0,
149,21.034717559814453,0,
150,19.67930793762207,0,
151,19.850969314575195,0,
152,19.64092254638672,0,
153,21.88730239868164,0,
154,20.825624465942383,0,
155,20.50471305847168,0,
156,19.908905029296875,0,
157,19.465208053588867,0,
158,20.250797271728516,0,
159,20.060062408447266,0,
160,19.77396011352539,1,baseball bat
161,20.047664642333984,0,
162,19.87433433532715,0,
163,19.707679748535156,0,
164,19.80757713317871,0,
165,19.510984420776367,0,
166,19.467830657958984,0,
167,19.295215606689453,0,
168,20.233869552612305,0,
169,19.481420516967773,0,
170,19.721269607543945,1,car
171,20.937681198120117,0,
172,19.41227912902832,0,
173,19.32382583618164,2,bus;truck
174,19.47760581970215,1,car
175,19.623756408691406,1,car
176,19.603967666625977,1,car
177,20.07913589477539,1,car
178,19.309043884277344,0,
179,19.448041915893555,0,
180,19.384384155273438,0,
181,19.53268051147461,0,
182,19.745349884033203,0,
183,19.70672607421875,1,truck
184,19.55866813659668,0,
185,19.13285255432129,0,
186,19.598722457885742,0,
187,19.562482833862305,1,car
188,20.055770874023438,0,
189,19.264698028564453,0,
190,19.661903381347656,1,car
191,19.454240798950195,0,
192,19.783735275268555,0,
193,19.473552703857422,0,
194,19.367456436157227,1,car
195,19.50693130493164,1,car
196,19.44446563720703,0,
197,19.240856170654297,1,car
198,20.392417907714844,1,car
199,19.37723159790039,0,
200,20.371675491333008,0,
201,19.202709197998047,1,car
202,19.0432071685791,1,car
203,19.436359405517578,1,car
204,19.359827041625977,1,car
205,19.423484802246094,2,car;truck
206,19.205093383789062,0,
207,18.89348030090332,0,
208,19.38652992248535,0,
209,18.54705810546875,0,
210,18.980026245117188,0,
211,19.069671630859375,0,
212,18.956661224365234,0,
213,18.683195114135742,0,
214,18.73636245727539,0,
215,18.77140998840332,0,
216,20.298480987548828,0,
217,18.594741821289062,0,
218,20.163297653198242,0,
219,19.352197647094727,0,
220,18.5701847076416,0,
221,18.98813247680664,0,
222,18.617630004882812,0,
223,18.789291381835938,0,
224,20.331859588623047,0,
225,19.056081771850586,0,
226,18.505096435546875,0,
227,18.669605255126953,0,
228,20.077943801879883,0,
229,18.69654655456543,0,
230,18.73636245727539,0,
231,18.81098747253418,0,
232,18.924713134765625,0,
233,18.761634826660156,0,
234,18.718481063842773,0,
235,18.932580947875977,1,airplane
236,18.757104873657227,1,airplane
237,18.950700759887695,1,airplane
238,19.81520652770996,0,
239,18.662214279174805,0,
240,19.210100173950195,1,airplane
241,19.042253494262695,0,
242,18.635988235473633,1,airplane
243,18.41568946838379,0,
244,18.465757369995117,0,
245,18.076419830322266,0,
246,18.19753646850586,0,
247,18.467187881469727,0,
248,19.347667694091797,0,
249,18.4326171875,0,
250,18.810272216796875,0,
251,18.698453903198242,0,
252,18.68438720703125,0,
253,18.60952377319336,0,
254,18.844127655029297,0,
255,18.645286560058594,0,
256,18.846750259399414,0,
257,18.2037353515625,0,
258,19.728422164916992,0,
259,18.398761749267578,0,
260,18.702268600463867,0,
261,18.815994262695312,1,airplane
262,18.813133239746094,0,
263,18.796443939208984,0,
264,18.608570098876953,0,
265,18.790245056152344,0,
266,18.608808517456055,0,
267,18.958330154418945,0,
268,19.56653594970703,0,
269,19.192934036254883,0,
270,18.992900848388672,0,
271,19.70362663269043,0,
272,19.253015518188477,0,
273,19.04010772705078,0,
274,19.178390502929688,0,
275,19.044160842895508,0,
276,19.24753189086914,0,
277,19.05965805053711,0,
278,19.898176193237305,0,
279,18.94378662109375,0,
280,20.95937728881836,0,
281,19.88816261291504,0,
282,19.60611343383789,0,
283,18.67532730102539,0,
284,19.665241241455078,0,
285,18.73636245727539,0,
286,18.703937530517578,0,
287,18.541812896728516,0,
288,19.33455467224121,0,
289,18.718242645263672,0,
290,18.72873306274414,0,
291,18.51058006286621,0,
292,18.94831657409668,0,
293,18.827199935913086,0,
294,19.134044647216797,0,
295,19.359588623046875,0,
296,19.279956817626953,0,
297,19.266128540039062,0,
298,20.014047622680664,0,
299,19.51003074645996,0,
300,20.007610321044922,0,
301,19.30546760559082,0,
302,18.951892852783203,0,
303,18.90850067138672,0,
304,18.621444702148438,0,
305,18.56827735900879,0,
306,18.748998641967773,0,
307,18.588542938232422,0,
308,18.877267837524414,0,
309,19.14691925048828,0,
310,18.67222785949707,0,
311,19.05345916748047,0,
312,19.097566604614258,0,
313,19.073009490966797,0,
314,19.115447998046875,0,
315,19.228458404541016,0,
316,19.558191299438477,0,
317,19.892215728759766,0,
318,19.88673210144043,0,
319,19.20318603515625,0,
320,18.88298988342285,0,
321,18.757343292236328,0,
322,20.900487899780273,0,
323,19.478797912597656,0,
324,18.457412719726562,0,
325,18.403053283691406,0,
326,18.55635643005371,0,
327,18.615007400512695,0,
328,18.7075138092041,0,
329,19.506454467773438,1,baseball bat
330,19.01531219482422,0,
331,19.287109375,0,
332,19.205331802368164,0,
333,19.432544708251953,0,
334,19.707441329956055,0,
335,19.2720890045166,0,
336,19.184589385986328,0,
337,18.990278244018555,0,
338,19.974231719970703,0,
339,18.893003463745117,0,
340,18.85366439819336,0,
341,18.526792526245117,0,
342,20.9658145904541,1,airplane
343,20.088911056518555,1,airplane
344,19.36650276184082,0,
345,19.167423248291016,1,airplane
346,19.41204071044922,1,airplane
347,19.655466079711914,1,airplane
348,20.241498947143555,0,
349,19.66094970703125,0,
350,19.161224365234375,0,
351,18.9206600189209,0,
352,18.746614456176758,0,
353,19.05512809753418,1,airplane
354,20.204782485961914,0,
355,18.840551376342773,0,
356,18.82338523864746,1,airplane
357,18.540382385253906,0,
358,19.02008056640625,1,airplane
359,19.946575164794922,1,airplane
360,19.879817962646484,1,airplane
361,20.30181884765625,1,airplane
362,19.632816314697266,1,airplane
363,19.467830657958984,0,
364,19.588232040405273,0,
365,19.160747528076172,0,
366,19.06728744506836,0,
367,18.66912841796875,0,
368,18.446922302246094,0,
369,20.043373107910156,1,airplane
370,18.294572830200195,0,
371,18.182992935180664,0,
372,18.98193359375,1,airplane
373,18.718242645263672,0,
374,18.72706413269043,0,
375,19.31452751159668,0,
376,19.024372100830078,0,
377,19.03223991394043,1,airplane
378,19.022464752197266,1,airplane
379,18.73493194580078,0,
380,19.086599349975586,0,
381,18.100261688232422,0,
382,18.3565616607666,0,
383,18.23878288269043,0,
384,18.85509490966797,2,airplane;airplane
385,18.7532901763916,2,airplane;airplane
386,18.817424774169922,2,airplane;airplane
387,18.96214485168457,1,airplane
388,18.8138484954834,0,
389,18.759965896606445,0,
390,19.659042358398438,0,
391,18.737077713012695,0,
392,18.68581771850586,0,
393,18.66936683654785,0,
394,18.344640731811523,0,
395,19.19412612915039,1,airplane
396,18.416643142700195,0,
397,18.80621910095215,1,airplane
398,18.01013946533203,0,
399,18.909454345703125,2,airplane;airplane
400,20.525693893432617,1,airplane
401,19.402742385864258,1,airplane
402,19.41657066345215,1,airplane
403,19.35100555419922,0,
404,18.253803253173828,0,
405,18.192052841186523,0,
406,18.533706665039062,0,
407,19.315719604492188,1,car
408,19.28424835205078,1,airplane
409,19.153833389282227,1,airplane
410,18.895626068115234,1,airplane
411,20.204782485961914,1,airplane
412,19.395828247070312,1,airplane
413,19.623517990112305,1,airplane
414,19.609928131103516,1,airplane
415,19.498109817504883,2,airplane;airplane
416,19.156455993652344,1,airplane
417,18.69940757751465,0,
418,18.538951873779297,0,
419,18.590688705444336,0,
420,18.319129943847656,0,
421,19.73700523376465,0,
422,18.6460018157959,0,
423,18.67508888244629,0,
424,18.71323585510254,0,
425,18.98193359375,0,
426,19.344091415405273,0,
427,19.25039291381836,0,
428,18.8446044921875,0,
429,18.98956298828125,0,
430,18.756628036499023,0,
431,19.054651260375977,0,
432,18.515825271606445,0,
433,18.83864402770996,0,
434,19.094228744506836,0,
435,19.275188446044922,0,
436,19.074678421020508,0,
437,19.304990768432617,0,
438,19.28567886352539,0,
439,18.92876625061035,0,
440,18.79096031188965,0,
441,18.955469131469727,0,
442,20.547866821289062,0,
443,18.86749267578125,0,
444,18.913984298706055,0,
445,18.825769424438477,0,
446,18.66936683654785,0,
447,18.956422805786133,0,
448,19.489526748657227,0,
449,20.406246185302734,0,
450,20.089149475097656,0,
451,19.618749618530273,0,
452,19.76776123046875,0,
453,19.633054733276367,1,airplane
454,19.313573837280273,0,
455,19.099950790405273,0,
456,19.442081451416016,0,
457,19.20795440673828,1,skateboard
458,19.32978630065918,0,
459,19.260406494140625,0,
460,19.628524780273438,0,
461,19.127368927001953,0,
462,20.275115966796875,0,
463,19.052743911743164,0,
464,19.062519073486328,0,
465,19.340038299560547,0,
466,19.16337013244629,0,
467,19.01984214782715,0,
468,18.931150436401367,0,
469,19.19865608215332,0,
470,18.808603286743164,0,
471,19.267797470092773,0,
472,20.908832550048828,0,
473,20.1108455657959,0,
474,18.907785415649414,0,
475,18.748998641967773,0,
476,18.834590911865234,0,
477,18.99886131286621,0,
478,18.958568572998047,0,
479,18.720626831054688,0,
480,18.655776977539062,0,
481,18.473386764526367,0,
482,19.048213958740234,0,
483,20.132780075073242,0,
484,19.437551498413086,0,
485,18.533945083618164,0,
486,18.672466278076172,0,
487,18.885135650634766,0,
488,18.871068954467773,0,
489,18.61739158630371,0,
490,18.57733726501465,0,
491,18.599271774291992,0,
492,18.486976623535156,0,
493,18.840312957763672,0,
494,19.924402236938477,0,
495,19.49906349182129,1,car
496,19.258737564086914,1,car
497,18.586397171020508,0,
498,19.162654876708984,0,
499,18.970012664794922,0,
500,20.331144332885742,0,
501,18.852710723876953,0,
502,18.62168312072754,0,
503,18.880128860473633,0,
504,19.32072639465332,0,
505,19.559383392333984,0,
506,19.403457641601562,1,airplane
507,18.89348030090332,0,
508,20.268678665161133,1,airplane
509,19.306659698486328,0,
510,18.87989044189453,0,
511,18.767595291137695,0,
512,18.748998641967773,0,
513,20.804882049560547,0,
514,19.994258880615234,0,
515,21.14081382751465,0,
516,19.051313400268555,0,
517,18.84746551513672,0,
518,18.507719039916992,0,
519,18.972396850585938,0,
520,18.763065338134766,0,
521,18.741369247436523,0,
522,19.01721954345703,0,
523,19.516468048095703,0,
524,19.480466842651367,1,baseball bat
525,20.170927047729492,0,
526,18.856525421142578,0,
527,18.824338912963867,0,
528,18.63408088684082,0,
529,18.19896697998047,0,
530,18.030166625976562,0,
531,18.845319747924805,0,
532,18.903017044067383,0,
533,18.399477005004883,0,
534,18.363237380981445,0,
535,18.526315689086914,0,
536,20.075321197509766,0,
537,18.82004737854004,0,
538,18.58806610107422,0,
539,18.50581169128418,0,
540,18.543243408203125,0,
541,18.228530883789062,0,
542,18.308639526367188,0,
543,18.122196197509766,0,
544,18.513202667236328,0,
545,19.271373748779297,0,
546,18.84317398071289,0,
547,19.330978393554688,0,
548,18.713712692260742,0,
549,18.643617630004883,0,
550,18.54085922241211,0,
551,19.081592559814453,0,
552,18.30124855041504,0,
553,19.015073776245117,0,
554,18.91303062438965,0,
555,18.574237823486328,0,
556,19.68979835510254,0,
557,19.253015518188477,0,
558,19.02914047241211,0,
559,19.42276954650879,0,
560,20.11895179748535,0,
561,18.49985122680664,0,
562,19.00005340576172,0,
563,18.80192756652832,0,
564,19.220829010009766,1,frisbee
565,18.582582473754883,0,
566,19.075393676757812,0,
567,20.212650299072266,0,
568,18.821239471435547,0,
569,18.735170364379883,0,
570,18.85080337524414,0,
571,18.62192153930664,0,
572,18.677473068237305,0,
573,18.53466033935547,0,
574,18.535375595092773,0,
575,18.692970275878906,0,
576,19.121885299682617,0,
577,18.961429595947266,0,
578,19.600391387939453,0,
579,20.081520080566406,0,
580,19.191980361938477,0,
581,18.921852111816406,0,
582,18.407106399536133,0,
583,18.489837646484375,0,
584,18.509626388549805,0,
585,19.861221313476562,0,
586,18.84150505065918,0,
587,18.83697509765625,0,
588,19.736289978027344,0,
589,19.406557083129883,1,baseball bat
590,19.000768661499023,0,
591,18.825531005859375,0,
592,18.837690353393555,0,
593,18.463850021362305,0,
594,18.672704696655273,0,
