time_s,ego_speed_mps,ego_x,ego_y,ego_yaw,throttle,brake,steer,action,decision_reason
0.0024480819702148438,0.0,225.72586059570312,-364.1121826171875,-0.2099609524011612,0.5,0.0,-0.0027096783742308617,DRIVING,Path clear
0.012538671493530273,0.0025508618503261044,225.72586059570312,-364.1121826171875,-0.2099609524011612,0.5,0.0,-0.0027184931095689535,DRIVING,Path clear
0.07430648803710938,0.00032199342473715356,225.7258758544922,-364.1121826171875,-0.2099609524011612,0.5,0.0,-0.0027093649841845036,DRIVING,Path clear
0.09703397750854492,0.00591819201331858,225.72763061523438,-364.1121826171875,-0.2100525051355362,0.5,0.0,-0.0027123061008751392,DRIVING,Path clear
0.11147809028625488,0.16241900746100543,225.73292541503906,-364.1121826171875,-0.2085265964269638,0.5,0.0,-0.002773751737549901,DRIVING,Path clear
0.13843035697937012,0.2660323249055016,225.7445831298828,-364.1121826171875,-0.211639404296875,0.5,0.0,-0.002695750677958131,DRIVING,Path clear
0.16763043403625488,0.37963000914690476,225.7608184814453,-364.1123352050781,-0.19769287109375,0.5,0.0,-0.003133557504042983,DRIVING,Path clear
0.1991262435913086,0.49198075344591596,225.7842559814453,-364.11248779296875,-0.201507568359375,0.5,0.0,-0.0030024375300854445,DRIVING,Path clear
0.22335195541381836,0.6352763755141565,225.814453125,-364.11285400390625,-0.17877197265625,0.5,0.0,-0.0036868732422590256,DRIVING,Path clear
0.24818038940429688,0.8003318735274729,225.8518524169922,-364.1130065917969,-0.1819763034582138,0.5,0.0,-0.003594042267650366,DRIVING,Path clear
0.32428956031799316,0.9551251638605471,225.89703369140625,-364.1131286621094,-0.2004699558019638,0.5,0.0,-0.0030204327777028084,DRIVING,Path clear
0.35392141342163086,1.0821003498786672,225.9496307373047,-364.1134338378906,-0.21432490646839142,0.5,0.0,-0.0025528157129883766,DRIVING,Path clear
0.3781437873840332,1.2806916454894435,226.00933837890625,-364.11376953125,-0.2237853854894638,0.5,0.0,-0.002222302835434675,DRIVING,Path clear
0.4093129634857178,1.394997970653643,226.07672119140625,-364.1140441894531,-0.2439880073070526,0.5,0.0,-0.0015835262602195144,DRIVING,Path clear
0.4359109401702881,1.591895906256818,226.15182495117188,-364.1142883300781,-0.2676086127758026,0.5,0.0,-0.000840797321870923,DRIVING,Path clear
0.4584372043609619,1.7064507975594418,226.23483276367188,-364.1146545410156,-0.2731322944164276,0.5,0.0,-0.0006798518006689847,DRIVING,Path clear
0.4860858917236328,1.9198096123729689,226.32662963867188,-364.1151123046875,-0.27484130859375,0.5,0.0,-0.0006237581255845726,DRIVING,Path clear
0.5204355716705322,2.028702657256183,226.42587280273438,-364.1156921386719,-0.2762756049633026,0.5,0.0,-0.000555870879907161,DRIVING,Path clear
0.5653705596923828,2.227976802310888,226.53335571289062,-364.11627197265625,-0.277679443359375,0.5,0.0,-0.0005026691360399127,DRIVING,Path clear
0.6026301383972168,2.3364151548980177,226.64796447753906,-364.1168518066406,-0.2790221869945526,0.5,0.0,-0.0004572032776195556,DRIVING,Path clear
0.6191356182098389,2.5230358954194485,226.77044677734375,-364.1174011230469,-0.2803038954734802,0.5,0.0,-0.0004449571424629539,DRIVING,Path clear
0.6627025604248047,2.628940183483318,226.89968872070312,-364.1180419921875,-0.2824096381664276,0.5,0.0,-0.00038467743434011936,DRIVING,Path clear
0.6910688877105713,2.7504604066952063,227.03469848632812,-364.1188049316406,-0.2837524116039276,0.5,0.0,-0.0003202841035090387,DRIVING,Path clear
0.7250661849975586,2.8709267312125806,227.17581176757812,-364.1195983886719,-0.2848204970359802,0.5,0.0,-0.00026616977993398905,DRIVING,Path clear
0.7601265907287598,3.006807343889823,227.32337951660156,-364.1203308105469,-0.2857665717601776,0.5,0.0,-0.00024006105377338827,DRIVING,Path clear
0.7898736000061035,3.135146552758786,227.47756958007812,-364.1211242675781,-0.2866210639476776,0.5,0.0,-0.00021372504124883562,DRIVING,Path clear
0.814072847366333,3.2737501391124173,227.63848876953125,-364.1219177246094,-0.28744497895240784,0.5,0.0,-0.0001980708766495809,DRIVING,Path clear
0.8408136367797852,3.4031411451469893,227.8060760498047,-364.1226806640625,-0.2881774306297302,0.5,0.0,-0.00020021293312311172,DRIVING,Path clear
0.8613255023956299,3.5402317346965266,227.9803466796875,-364.1236572265625,-0.2889708876609802,0.5,0.0,-0.00015258797793649137,DRIVING,Path clear
